longitude,latitude,year,LC,siteid,site,SOC
35.19181567,1.378330056,2021,cropland,chepareria_10_1,chepareria,6.84225
35.19397162,1.385067421,2021,cropland,chepareria_10_10,chepareria,5.94385
35.19558859,1.384528432,2021,wooded_grassland,chepareria_10_2,chepareria,4.4506
35.19046819,1.378869045,2021,wooded_grassland,chepareria_10_3,chepareria,7.10625
35.18723426,1.379677529,2021,wooded_grassland,chepareria_10_4,chepareria,7.06505
35.18777325,1.385336915,2021,wooded_grassland,chepareria_10_5,chepareria,7.77525
35.19316314,1.380755507,2021,bushland,chepareria_10_6,chepareria,10.1211
35.19235465,1.386684388,2021,wooded_grassland,chepareria_10_7,chepareria,9.4198
35.19585808,1.383180959,2021,bushland,chepareria_10_8,chepareria,8.0764
35.1953191,1.381025002,2021,wooded_grassland,chepareria_10_9,chepareria,5.0463
35.18831224,1.413633847,2021,wooded_grassland,chepareria_11_1,chepareria,7.72245
35.1901987,1.410669406,2021,bushland,chepareria_11_10,chepareria,6.6298
35.19720556,1.412555869,2021,wooded_grassland,chepareria_11_13,chepareria,7.1509
35.19046819,1.409860923,2021,shrubland,chepareria_11_2,chepareria,12.5613
35.1953191,1.413094858,2021,cropland,chepareria_11_3,chepareria,10.53665
35.1953191,1.412555869,2021,cropland,chepareria_11_4,chepareria,8.53235
35.19693606,1.405549009,2021,bushland,chepareria_11_5,chepareria,8.1142
35.19208516,1.411747385,2021,bushland,chepareria_11_6,chepareria,7.5367
35.19397162,1.409052439,2021,bushland,chepareria_11_7,chepareria,10.8194
35.19397162,1.406357493,2021,wooded_grassland,chepareria_11_8,chepareria,7.5565
35.19451061,1.432498468,2021,wooded_grassland,chepareria_12_1,chepareria,10.87515
35.19424112,1.430073017,2021,wooded_grassland,chepareria_12_10,chepareria,7.57215
35.19100718,1.436271392,2021,wooded_grassland,chepareria_12_2,chepareria,8.63035
35.19424112,1.431689984,2021,bushland,chepareria_12_3,chepareria,7.3758
35.19478011,1.429534027,2021,bushland,chepareria_12_4,chepareria,8.09865
35.19666657,1.429264533,2021,bushland,chepareria_12_5,chepareria,15.16675
35.19127668,1.431689984,2021,wooded_grassland,chepareria_12_6,chepareria,6.808
35.19289364,1.427647565,2021,cropland,chepareria_12_7,chepareria,8.0648
35.19289364,1.431150995,2021,wooded_grassland,chepareria_12_8,chepareria,8.62885
35.19720556,1.43734937,2021,bushland,chepareria_12_9,chepareria,4.43455
35.21714816,1.358656951,2021,cropland,chepareria_13_1,chepareria,12.03
35.21849563,1.363777349,2021,wooded_grassland,chepareria_13_10,chepareria,6.40645
35.21580068,1.362968865,2021,cropland,chepareria_13_12,chepareria,7.3774
35.22199906,1.364585832,2021,bushland,chepareria_13_2,chepareria,12.3747
35.22388552,1.365663811,2021,wooded_grassland,chepareria_13_3,chepareria,15.05005
35.21876512,1.358926446,2021,wooded_grassland,chepareria_13_4,chepareria,11.98275
35.22361603,1.363507854,2021,wooded_grassland,chepareria_13_5,chepareria,5.48505
35.2201126,1.360812908,2021,bushland,chepareria_13_6,chepareria,6.64395
35.21849563,1.361351897,2021,grassland,chepareria_13_7,chepareria,8.9476
35.22361603,1.359465435,2021,wooded_grassland,chepareria_13_8,chepareria,5.6704
35.21687866,1.387223378,2021,wooded_grassland,chepareria_14_1,chepareria,9.76105
35.21418372,1.386145399,2021,wooded_grassland,chepareria_14_10,chepareria,5.2672
35.2098718,1.390726807,2021,bushland,chepareria_14_11,chepareria,11.498
35.21148877,1.384528432,2021,bushland,chepareria_14_2,chepareria,9.5293
35.21391422,1.386953883,2021,bushland,chepareria_14_4,chepareria,4.0487
35.21094978,1.38560641,2021,wooded_grassland,chepareria_14_5,chepareria,11.15705
35.21041079,1.386145399,2021,wooded_grassland,chepareria_14_6,chepareria,11.8023
35.21768715,1.392343775,2021,wooded_grassland,chepareria_14_7,chepareria,7.35775
35.21121928,1.383180959,2021,cropland,chepareria_14_8,chepareria,15.57555
35.21256675,1.388840345,2021,wooded_grassland,chepareria_14_9,chepareria,9.94965
35.20717686,1.403662547,2021,wooded_grassland,chepareria_15_1,chepareria,10.77635
35.21229725,1.407704966,2021,cropland,chepareria_15_10,chepareria,6.9544
35.2098718,1.409321933,2021,wooded_grassland,chepareria_15_2,chepareria,14.06785
35.21660917,1.412825363,2021,wooded_grassland,chepareria_15_3,chepareria,10.0731
35.21526169,1.410938901,2021,bushland,chepareria_15_4,chepareria,8.3518
35.21445321,1.40501002,2021,wooded_grassland,chepareria_15_5,chepareria,4.82325
35.21418372,1.410938901,2021,cropland,chepareria_15_6,chepareria,5.4929
35.21121928,1.41147789,2021,bushland,chepareria_15_7,chepareria,8.6407
35.21283624,1.408243955,2021,cropland,chepareria_15_8,chepareria,6.73225
35.21148877,1.41147789,2021,bushland,chepareria_15_9,chepareria,11.60055
35.20798534,1.428456049,2021,bushland,chepareria_16_1,chepareria,7.40445
35.21121928,1.434923919,2021,bushland,chepareria_16_10,chepareria,6.8989
35.20717686,1.42791706,2021,bushland,chepareria_16_2,chepareria,10.36125
35.21310574,1.429803522,2021,bushland,chepareria_16_3,chepareria,9.09205
