,latitude,longitude,year,predsoc,bushland,cropland,forest,grassland,mangrove,other,shrubland,thicket,wooded_grassland,woodland
0,1.378330056,35.19181567,2021,6.84225,0,1,0,0,0,0,0,0,0,0
1,1.385067421,35.19397162,2021,5.94385,0,1,0,0,0,0,0,0,0,0
2,1.384528432,35.19558859,2021,4.4506,0,0,0,0,0,0,0,0,1,0
3,1.378869045,35.19046819,2021,7.10625,0,0,0,0,0,0,0,0,1,0
4,1.379677529,35.18723426,2021,7.06505,0,0,0,0,0,0,0,0,1,0
5,1.385336915,35.18777325,2021,7.77525,0,0,0,0,0,0,0,0,1,0
6,1.380755507,35.19316314,2021,10.1211,1,0,0,0,0,0,0,0,0,0
7,1.386684388,35.19235465,2021,9.4198,0,0,0,0,0,0,0,0,1,0
8,1.383180959,35.19585808,2021,8.0764,1,0,0,0,0,0,0,0,0,0
9,1.381025002,35.1953191,2021,5.0463,0,0,0,0,0,0,0,0,1,0
10,1.413633847,35.18831224,2021,7.72245,0,0,0,0,0,0,0,0,1,0
11,1.410669406,35.1901987,2021,6.6298,1,0,0,0,0,0,0,0,0,0
12,1.412555869,35.19720556,2021,7.1509,0,0,0,0,0,0,0,0,1,0
13,1.409860923,35.19046819,2021,12.5613,0,0,0,0,0,0,1,0,0,0
14,1.413094858,35.1953191,2021,10.53665,0,1,0,0,0,0,0,0,0,0
15,1.412555869,35.1953191,2021,8.53235,0,1,0,0,0,0,0,0,0,0
16,1.405549009,35.19693606,2021,8.1142,1,0,0,0,0,0,0,0,0,0
17,1.411747385,35.19208516,2021,7.5367,1,0,0,0,0,0,0,0,0,0
18,1.409052439,35.19397162,2021,10.8194,1,0,0,0,0,0,0,0,0,0
19,1.406357493,35.19397162,2021,7.5565,0,0,0,0,0,0,0,0,1,0
20,1.432498468,35.19451061,2021,10.87515,0,0,0,0,0,0,0,0,1,0
21,1.430073017,35.19424112,2021,7.57215,0,0,0,0,0,0,0,0,1,0
22,1.436271392,35.19100718,2021,8.63035,0,0,0,0,0,0,0,0,1,0
23,1.431689984,35.19424112,2021,7.3758,1,0,0,0,0,0,0,0,0,0
24,1.429534027,35.19478011,2021,8.09865,1,0,0,0,0,0,0,0,0,0
25,1.429264533,35.19666657,2021,15.16675,1,0,0,0,0,0,0,0,0,0
26,1.431689984,35.19127668,2021,6.808,0,0,0,0,0,0,0,0,1,0
27,1.427647565,35.19289364,2021,8.0648,0,1,0,0,0,0,0,0,0,0
28,1.431150995,35.19289364,2021,8.62885,0,0,0,0,0,0,0,0,1,0
29,1.43734937,35.19720556,2021,4.43455,1,0,0,0,0,0,0,0,0,0
30,1.358656951,35.21714816,2021,12.03,0,1,0,0,0,0,0,0,0,0
31,1.363777349,35.21849563,2021,6.40645,0,0,0,0,0,0,0,0,1,0
32,1.362968865,35.21580068,2021,7.3774,0,1,0,0,0,0,0,0,0,0
33,1.364585832,35.22199906,2021,12.3747,1,0,0,0,0,0,0,0,0,0
34,1.365663811,35.22388552,2021,15.05005,0,0,0,0,0,0,0,0,1,0
35,1.358926446,35.21876512,2021,11.98275,0,0,0,0,0,0,0,0,1,0
36,1.363507854,35.22361603,2021,5.48505,0,0,0,0,0,0,0,0,1,0
37,1.360812908,35.2201126,2021,6.64395,1,0,0,0,0,0,0,0,0,0
38,1.361351897,35.21849563,2021,8.9476,0,0,0,1,0,0,0,0,0,0
39,1.359465435,35.22361603,2021,5.6704,0,0,0,0,0,0,0,0,1,0
